ID,Gender,EthnicGroup,ParentEduc,,TestPrep,ParentMaritalStatus,PracticeSport,WklyStudyHours,MathScore,MathGrade,ReadingScore,ReadingGrade,WritingScore,WritingGrade,OverallGrade
0,female,,bachelor's degree,,none,married,regularly,< 5,71,C,71,C,74,C,C
1,female,group C,some college,,,married,sometimes,10-May,69,D,90,A,88,B,B
2,female,group B,master's degree,,none,single,sometimes,< 5,87,B,93,A,91,A,A
3,male,group A,associate's degree,,none,married,never,10-May,45,F,56,E,42,F,F
4,male,group C,some college,,none,married,sometimes,10-May,76,C,78,C,75,C,C
5,female,group B,associate's degree,,none,married,regularly,10-May,73,C,84,B,79,C,C
6,female,group B,some college,,completed,widowed,never,10-May,85,B,93,A,89,B,B
7,male,group B,some college,,none,married,sometimes,> 10,41,F,43,F,39,F,F
8,male,group D,high school,,completed,single,sometimes,> 10,65,D,64,D,68,D,D
9,female,group B,high school,,none,married,regularly,< 5,37,F,59,E,50,F,F
10,male,group C,associate's degree,,none,,sometimes,10-May,58,E,54,F,52,F,F
11,male,group D,associate's degree,,none,divorced,sometimes,10-May,40,F,52,F,43,F,F
12,female,group B,high school,,none,married,regularly,10-May,66,D,82,B,74,C,C
13,male,group A,some college,,completed,single,sometimes,> 10,80,B,73,C,71,C,C
14,female,group A,master's degree,,none,divorced,sometimes,< 5,48,F,53,F,58,E,F
15,female,group C,some high school,,none,married,sometimes,,69,D,75,C,78,C,C
16,male,group C,high school,,,married,sometimes,10-May,88,B,89,B,86,B,B
17,female,group B,some high school,,none,divorced,sometimes,10-May,18,F,32,F,28,F,F
18,male,group C,master's degree,,completed,single,sometimes,10-May,46,F,42,F,47,F,F
19,female,group C,associate's degree,,none,married,never,< 5,50,F,56,E,58,E,F
20,male,group D,high school,,none,married,sometimes,10-May,66,D,69,D,63,D,D
21,female,group B,some college,,completed,married,sometimes,10-May,65,D,75,C,70,C,C
22,male,group D,,,none,married,never,10-May,42,F,53,F,51,F,F
23,female,group C,some high school,,none,divorced,never,10-May,66,D,71,C,71,C,D
24,male,group D,,,completed,married,sometimes,10-May,74,C,71,C,80,B,C
25,male,group A,master's degree,,none,married,regularly,10-May,75,C,76,C,76,C,C
26,male,group B,some college,,none,married,sometimes,< 5,66,D,53,F,53,F,F
27,female,group C,bachelor's degree,,none,married,sometimes,> 10,69,D,70,C,76,C,C
28,male,group C,high school,,none,married,sometimes,10-May,70,C,70,C,65,D,D
30,female,group D,some college,,none,single,sometimes,< 5,66,D,72,C,72,C,C
31,female,group B,some college,,none,single,sometimes,10-May,63,D,65,D,61,D,D
32,female,group E,master's degree,,none,divorced,sometimes,10-May,56,E,73,C,66,D,D
33,male,,some college,,none,married,sometimes,10-May,40,F,42,F,38,F,F
34,male,group E,some college,,none,divorced,sometimes,,97,A,87,B,82,B,B
35,male,group E,associate's degree,,completed,single,sometimes,10-May,81,B,81,B,79,C,B
36,female,group D,associate's degree,,none,married,regularly,10-May,76,C,82,B,85,B,B
37,female,group D,some high school,,none,married,regularly,10-May,51,F,64,D,60,D,F
38,female,group D,associate's degree,,completed,married,regularly,10-May,77,C,91,A,90,A,B
39,male,group B,associate's degree,,none,single,regularly,10-May,58,E,56,E,58,E,F
40,male,group C,associate's degree,,none,married,never,10-May,53,F,60,D,52,F,F
41,female,group C,associate's degree,,none,divorced,regularly,10-May,59,E,74,C,69,D,D
43,male,group B,some college,,,married,regularly,10-May,60,D,65,D,67,D,D
44,female,group E,associate's degree,,none,married,sometimes,< 5,48,F,55,E,52,F,F
